@iot.id,phenomenonDate,result,id,lat,long,weekday
39407845,2020-09-09,3280,11822,53.580518,9.999531,Wednesday
39408273,2020-09-11,4531,11822,53.580518,9.999531,Friday
39408835,2020-09-13,3651,11822,53.580518,9.999531,Sunday
39408675,2020-09-12,2587,11822,53.580518,9.999531,Saturday
39409301,2020-09-15,6080,11822,53.580518,9.999531,Tuesday
39409446,2020-09-16,5746,11822,53.580518,9.999531,Wednesday
39409595,2020-09-17,5213,11822,53.580518,9.999531,Thursday
39409846,2020-09-18,4591,11822,53.580518,9.999531,Friday
39410577,2020-09-21,5395,11822,53.580518,9.999531,Monday
39410028,2020-09-19,2799,11822,53.580518,9.999531,Saturday
39411170,2020-09-24,4286,11822,53.580518,9.999531,Thursday
39410381,2020-09-20,3543,11822,53.580518,9.999531,Sunday
39413394,2020-10-03,2045,11822,53.580518,9.999531,Saturday
39410852,2020-09-22,5938,11822,53.580518,9.999531,Tuesday
39411000,2020-09-23,5606,11822,53.580518,9.999531,Wednesday
39411426,2020-09-25,3749,11822,53.580518,9.999531,Friday
39411631,2020-09-26,1562,11822,53.580518,9.999531,Saturday
39411824,2020-09-27,791,11822,53.580518,9.999531,Sunday
39412052,2020-09-28,3553,11822,53.580518,9.999531,Monday
39412517,2020-09-29,6326,11822,53.580518,9.999531,Tuesday
39412760,2020-09-30,4890,11822,53.580518,9.999531,Wednesday
39413547,2020-10-04,2230,11822,53.580518,9.999531,Sunday
39412928,2020-10-01,5170,11822,53.580518,9.999531,Thursday
39413237,2020-10-02,3590,11822,53.580518,9.999531,Friday
39413749,2020-10-05,3084,11822,53.580518,9.999531,Monday
39413992,2020-10-06,2447,11822,53.580518,9.999531,Tuesday
39414261,2020-10-07,2775,11822,53.580518,9.999531,Wednesday
39414521,2020-10-08,1867,11822,53.580518,9.999531,Thursday
39414820,2020-10-09,2823,11822,53.580518,9.999531,Friday
39415160,2020-10-11,1247,11822,53.580518,9.999531,Sunday
39414981,2020-10-10,1840,11822,53.580518,9.999531,Saturday
39415371,2020-10-12,3251,11822,53.580518,9.999531,Monday
39415609,2020-10-13,4002,11822,53.580518,9.999531,Tuesday
39415772,2020-10-14,3283,11822,53.580518,9.999531,Wednesday
39415923,2020-10-15,4690,11822,53.580518,9.999531,Thursday
39416392,2020-10-16,3259,11822,53.580518,9.999531,Friday
39416618,2020-10-17,2064,11822,53.580518,9.999531,Saturday
39416791,2020-10-18,1820,11822,53.580518,9.999531,Sunday
39417015,2020-10-19,3917,11822,53.580518,9.999531,Monday
39417243,2020-10-20,3417,11822,53.580518,9.999531,Tuesday
39419048,2020-10-29,2563,11822,53.580518,9.999531,Thursday
39418032,2020-10-24,2041,11822,53.580518,9.999531,Saturday
39417874,2020-10-23,3707,11822,53.580518,9.999531,Friday
39418425,2020-10-26,3580,11822,53.580518,9.999531,Monday
39418872,2020-10-28,3773,11822,53.580518,9.999531,Wednesday
39418636,2020-10-27,4145,11822,53.580518,9.999531,Tuesday
39419210,2020-10-30,1663,11822,53.580518,9.999531,Friday
39419508,2020-10-31,1640,11822,53.580518,9.999531,Saturday
39419684,2020-11-01,2229,11822,53.580518,9.999531,Sunday
39419840,2020-11-02,2882,11822,53.580518,9.999531,Monday
39420181,2020-11-03,4029,11822,53.580518,9.999531,Tuesday
39420913,2020-11-06,3286,11822,53.580518,9.999531,Friday
39420541,2020-11-04,3962,11822,53.580518,9.999531,Wednesday
39420748,2020-11-05,3620,11822,53.580518,9.999531,Thursday
39421208,2020-11-07,2964,11822,53.580518,9.999531,Saturday
39421376,2020-11-08,2813,11822,53.580518,9.999531,Sunday
39421532,2020-11-09,3339,11822,53.580518,9.999531,Monday
39421756,2020-11-10,3394,11822,53.580518,9.999531,Tuesday
39422804,2020-11-11,3201,11822,53.580518,9.999531,Wednesday
39456560,2020-10-25,1240,11822,53.580518,9.999531,Sunday
39559622,2020-11-12,2915,11822,53.580518,9.999531,Thursday
39702855,2020-11-13,3388,11822,53.580518,9.999531,Friday
39835183,2020-11-14,1854,11822,53.580518,9.999531,Saturday
39966159,2020-11-15,2844,11822,53.580518,9.999531,Sunday
40097853,2020-11-16,2854,11822,53.580518,9.999531,Monday
40233366,2020-11-17,2660,11822,53.580518,9.999531,Tuesday
40377925,2020-11-18,3676,11822,53.580518,9.999531,Wednesday
40519470,2020-11-19,2710,11822,53.580518,9.999531,Thursday
40661264,2020-11-20,3151,11822,53.580518,9.999531,Friday
40793782,2020-11-21,1108,11822,53.580518,9.999531,Saturday
40921829,2020-11-22,1847,11822,53.580518,9.999531,Sunday
41055006,2020-11-23,2837,11822,53.580518,9.999531,Monday
41189878,2020-11-24,3246,11822,53.580518,9.999531,Tuesday
41323856,2020-11-25,3299,11822,53.580518,9.999531,Wednesday
41451312,2020-11-26,2611,11822,53.580518,9.999531,Thursday
41584612,2020-11-27,3015,11822,53.580518,9.999531,Friday
41714952,2020-11-28,1662,11822,53.580518,9.999531,Saturday
41844186,2020-11-29,1469,11822,53.580518,9.999531,Sunday
42146537,2020-11-30,2711,11822,53.580518,9.999531,Monday
42116425,2020-12-01,2544,11822,53.580518,9.999531,Tuesday
42249997,2020-12-02,2962,11822,53.580518,9.999531,Wednesday
42400075,2020-12-03,2729,11822,53.580518,9.999531,Thursday
42595228,2020-12-04,2254,11822,53.580518,9.999531,Friday
42776463,2020-12-05,1268,11822,53.580518,9.999531,Saturday
42941554,2020-12-06,1316,11822,53.580518,9.999531,Sunday
43105289,2020-12-07,2804,11822,53.580518,9.999531,Monday
43193744,2020-12-08,3263,11822,53.580518,9.999531,Tuesday
43321398,2020-12-09,2635,11822,53.580518,9.999531,Wednesday
43494900,2020-12-10,2717,11822,53.580518,9.999531,Thursday
43694867,2020-12-11,2515,11822,53.580518,9.999531,Friday
43871468,2020-12-12,1283,11822,53.580518,9.999531,Saturday
44038908,2020-12-13,1078,11822,53.580518,9.999531,Sunday
44201718,2020-12-14,2523,11822,53.580518,9.999531,Monday
44368858,2020-12-15,2126,11822,53.580518,9.999531,Tuesday
44638681,2020-12-16,2712,11822,53.580518,9.999531,Wednesday
44866737,2020-12-17,2114,11822,53.580518,9.999531,Thursday
48055348,2021-01-05,1815,11822,53.580518,9.999531,Tuesday
48247459,2021-01-06,1392,11822,53.580518,9.999531,Wednesday
48440894,2021-01-07,1274,11822,53.580518,9.999531,Thursday
48634438,2021-01-08,1400,11822,53.580518,9.999531,Friday
48822337,2021-01-09,1187,11822,53.580518,9.999531,Saturday
48998826,2021-01-10,1537,11822,53.580518,9.999531,Sunday
49174714,2021-01-11,1305,11822,53.580518,9.999531,Monday
49347921,2021-01-12,2106,11822,53.580518,9.999531,Tuesday
49526925,2021-01-13,1412,11822,53.580518,9.999531,Wednesday
49707448,2021-01-14,1953,11822,53.580518,9.999531,Thursday
49889173,2021-01-15,1761,11822,53.580518,9.999531,Friday
50075536,2021-01-16,1417,11822,53.580518,9.999531,Saturday
50261940,2021-01-17,1413,11822,53.580518,9.999531,Sunday
50445868,2021-01-18,1477,11822,53.580518,9.999531,Monday
50632309,2021-01-19,1121,11822,53.580518,9.999531,Tuesday
50825823,2021-01-20,2208,11822,53.580518,9.999531,Wednesday
51012103,2021-01-21,2380,11822,53.580518,9.999531,Thursday
51219414,2021-01-22,1984,11822,53.580518,9.999531,Friday
51493550,2021-01-23,1587,11822,53.580518,9.999531,Saturday
51731083,2021-01-24,933,11822,53.580518,9.999531,Sunday
45044127,2020-12-18,2758,11822,53.580518,9.999531,Friday
45223588,2020-12-19,2037,11822,53.580518,9.999531,Saturday
45398046,2020-12-20,1354,11822,53.580518,9.999531,Sunday
45579308,2020-12-21,2395,11822,53.580518,9.999531,Monday
45756039,2020-12-22,1280,11822,53.580518,9.999531,Tuesday
51961481,2021-01-25,2012,11822,53.580518,9.999531,Monday
52206996,2021-01-26,2278,11822,53.580518,9.999531,Tuesday
52428694,2021-01-27,2207,11822,53.580518,9.999531,Wednesday
52643000,2021-01-28,2240,11822,53.580518,9.999531,Thursday
52856007,2021-01-29,1160,11822,53.580518,9.999531,Friday
53064498,2021-01-30,322,11822,53.580518,9.999531,Saturday
53272739,2021-01-31,443,11822,53.580518,9.999531,Sunday
53480765,2021-02-01,800,11822,53.580518,9.999531,Monday
53719055,2021-02-02,967,11822,53.580518,9.999531,Tuesday
53951904,2021-02-03,656,11822,53.580518,9.999531,Wednesday
54160785,2021-02-04,1153,11822,53.580518,9.999531,Thursday
54332082,2021-02-05,1188,11822,53.580518,9.999531,Friday
54421683,2021-02-06,802,11822,53.580518,9.999531,Saturday
54620201,2021-02-07,466,11822,53.580518,9.999531,Sunday
54637826,2021-02-08,1056,11822,53.580518,9.999531,Monday
54846646,2021-02-09,719,11822,53.580518,9.999531,Tuesday
55126499,2021-02-10,740,11822,53.580518,9.999531,Wednesday
55407793,2021-02-11,1016,11822,53.580518,9.999531,Thursday
55622504,2021-02-12,1094,11822,53.580518,9.999531,Friday
55835927,2021-02-13,967,11822,53.580518,9.999531,Saturday
56049183,2021-02-14,900,11822,53.580518,9.999531,Sunday
56262933,2021-02-15,847,11822,53.580518,9.999531,Monday
56458589,2021-02-16,710,11822,53.580518,9.999531,Tuesday
56682392,2021-02-17,1591,11822,53.580518,9.999531,Wednesday
56893889,2021-02-18,2240,11822,53.580518,9.999531,Thursday
57099665,2021-02-19,2409,11822,53.580518,9.999531,Friday
57308671,2021-02-20,2389,11822,53.580518,9.999531,Saturday
57517984,2021-02-21,3527,11822,53.580518,9.999531,Sunday
57727758,2021-02-22,3642,11822,53.580518,9.999531,Monday
57936758,2021-02-23,3439,11822,53.580518,9.999531,Tuesday
58145707,2021-02-24,3983,11822,53.580518,9.999531,Wednesday
58356782,2021-02-25,3721,11822,53.580518,9.999531,Thursday
58583006,2021-02-26,2821,11822,53.580518,9.999531,Friday
58800726,2021-02-27,1401,11822,53.580518,9.999531,Saturday
58997597,2021-02-28,1605,11822,53.580518,9.999531,Sunday
59210845,2021-03-01,2858,11822,53.580518,9.999531,Monday
59440805,2021-03-02,3225,11822,53.580518,9.999531,Tuesday
59670029,2021-03-03,3221,11822,53.580518,9.999531,Wednesday
59894542,2021-03-04,2226,11822,53.580518,9.999531,Thursday
60128470,2021-03-05,2617,11822,53.580518,9.999531,Friday
60365850,2021-03-06,1036,11822,53.580518,9.999531,Saturday
60594853,2021-03-07,1053,11822,53.580518,9.999531,Sunday
60830438,2021-03-08,2786,11822,53.580518,9.999531,Monday
61063592,2021-03-09,1640,11822,53.580518,9.999531,Tuesday
61301219,2021-03-10,2466,11822,53.580518,9.999531,Wednesday
61531763,2021-03-11,1080,11822,53.580518,9.999531,Thursday
61763935,2021-03-12,1472,11822,53.580518,9.999531,Friday
